playerId,teamId,leagueId,seasonId
544580d4300969b132fd4a72,54457dd3300969b132fcfe44,54457dce300969b132fcfb34,5b6e102011ef0d11039af1e3
5a5ddab10b62ed00ed2931f9,54457dd3300969b132fcfe3b,54457dce300969b132fcfb34,62c726d3b7c193d1aff34888
544580de300969b132fd50af,54457dd3300969b132fcfe4f,54457dce300969b132fcfb34,62c726d3b7c193d1aff34888
544580de300969b132fd50af,54457dd3300969b132fcfe4f,54457dce300969b132fcfb34,5b6e102011ef0d11039af1e3
544580e2300969b132fd540b,54457dd3300969b132fcfe55,54457dce300969b132fcfb34,5b6e102011ef0d11039af1e3
5bbe1a5eaeda71993926b18d,54457dd3300969b132fcfe42,54457dce300969b132fcfb34,62c726d3b7c193d1aff34888
544580d1300969b132fd482b,54457dd3300969b132fcfe40,54457dce300969b132fcfb34,62c726d3b7c193d1aff34888
5bbe1a82aeda7199392783a1,54457dd3300969b132fcfe49,54457dce300969b132fcfb34,62c726d3b7c193d1aff34888
5bb00804aeda719939187846,54457dd3300969b132fcfe50,54457dce300969b132fcfb34,5b6e102011ef0d11039af1e3
577f18ed576202139845fc26,54457dd3300969b132fcfe51,54457dce300969b132fcfb34,5b6e102011ef0d11039af1e3
59af0b0d17120e9c9a997793,54457dd3300969b132fcfe57,54457dce300969b132fcfb34,5b6e102011ef0d11039af1e3
544580d1300969b132fd482b,54457dd3300969b132fcfe40,54457dce300969b132fcfb34,5b6e102011ef0d11039af1e3
544580df300969b132fd5192,54457dd3300969b132fcfe51,54457dce300969b132fcfb34,5b6e102011ef0d11039af1e3
62c7267eb7c193d1aff20ab8,54457dd3300969b132fcfe4b,54457dce300969b132fcfb34,62c726d3b7c193d1aff34888
544580e4300969b132fd55b3,54457dd3300969b132fcfe58,54457dce300969b132fcfb34,5b6e102011ef0d11039af1e3
544580e3300969b132fd5503,54457dd3300969b132fcfe57,54457dce300969b132fcfb34,5b6e102011ef0d11039af1e3
5a73ccb6053b872385378ca6,54457dd3300969b132fcfe4d,54457dce300969b132fcfb34,5b6e102011ef0d11039af1e3
544580df300969b132fd5192,54457dd3300969b132fcfe51,54457dce300969b132fcfb34,62c726d3b7c193d1aff34888
55c583531e31501db44165c7,54457dd3300969b132fcfe43,54457dce300969b132fcfb34,5b6e102011ef0d11039af1e3
55c583531e31501db44165c7,54457dd3300969b132fcfe43,54457dce300969b132fcfb34,62c726d3b7c193d1aff34888
